,batterID,outcome_next
0,1.0,-20.57827485191581
1,2.0,-14.30074212419667
2,3.0,27.776243264780206
3,4.0,-0.600806768354843
4,5.0,-9.369737661707678
5,6.0,-19.32500534662536
6,7.0,-13.894514796731995
7,8.0,-0.8148795233418339
8,9.0,9.320769011546009
9,10.0,18.088569371698043
10,11.0,5.267772184333726
11,12.0,7.632083023319925
12,13.0,10.852584412625514
13,14.0,-29.321838434120885
14,15.0,-15.886894042889205
15,16.0,20.095649853174876
16,17.0,-18.309059281004302
17,18.0,4.752759210923041
18,19.0,38.933564985275176
19,20.0,-22.560025918041312
20,21.0,1.750742771424322
21,22.0,-9.962650616081099
22,23.0,16.823661304737147
23,24.0,3.7899281644055405
24,25.0,-6.184621923022084
25,26.0,1.6536495379959144
26,27.0,-5.8679204385646955
27,28.0,-2.628566498785391
28,29.0,4.862708875341198
29,30.0,17.80895143760931
30,31.0,20.151730143388516
31,32.0,12.46760103525774
32,33.0,9.583549311072854
33,34.0,1.6112674210940148
34,35.0,-9.317663073058286
35,36.0,-11.134995385033228
36,37.0,25.190027746087846
37,38.0,-5.191098700977018
38,39.0,-8.635754388730769
39,40.0,-9.910978004913963
40,41.0,10.976696173308714
41,42.0,19.07524845039455
42,43.0,-16.77265122266918
43,44.0,4.0802688384460755
44,45.0,21.70249582275781
45,46.0,-10.762942414378719
46,47.0,12.953798218559276
47,48.0,-3.83894922852315
48,49.0,9.854083573465562
49,50.0,4.637676820051413
50,51.0,5.4972225584240615
51,52.0,53.66513408655164
52,53.0,-20.69089717353188
53,54.0,-23.318942568209835
54,55.0,4.215289658876986
55,56.0,-2.381702854729521
56,57.0,18.913264144669885
57,58.0,25.024953651149943
58,59.0,38.517332302529894
59,60.0,-7.614568378884381
60,61.0,-4.022477060400187
61,62.0,-8.288237000201594
62,63.0,-19.943156525644213
63,64.0,3.3553310999801482
64,65.0,7.007460883436749
65,66.0,-0.16669346852864933
66,67.0,32.825694412959386
67,68.0,7.2579680738850465
68,69.0,-21.109344347047305
69,70.0,-25.772568845640656
70,71.0,-4.971095203836397
71,72.0,9.136660718537142
72,73.0,-12.072098078591877
73,74.0,-15.598154457662691
74,75.0,-0.16745880656214315
75,76.0,29.26222229451611
76,77.0,11.680900547392584
77,78.0,2.180402184130777
78,79.0,-16.9743870029776
79,80.0,-2.884523089080112
80,81.0,-20.530285128589433
81,82.0,7.431370542371251
82,83.0,2.16902417774348
83,84.0,5.164224245375305
84,85.0,33.77617228095756
85,86.0,17.350871254593265
86,87.0,-12.065107544509212
87,88.0,-6.963027576085673
88,89.0,9.250311119811421
89,90.0,-27.05419112326228
90,91.0,-14.318739686290161
91,92.0,0.4298221938554592
92,93.0,-1.6431171354888094
93,94.0,-41.669881456824804
94,95.0,31.75688060095102
95,96.0,-12.90552599627589
96,97.0,-19.358416594760822
97,98.0,-17.444828366838966
98,99.0,-19.592548701528315
99,100.0,-18.795500704803576
